"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 24 02:30:34 GMT 2024","Fri May 24 02:30:34 GMT 2024","279","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Fri May 24 02:30:32 GMT 2024","Fri May 24 02:30:32 GMT 2024","236","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Fri May 24 02:30:34 GMT 2024","Fri May 24 02:30:34 GMT 2024","351","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Fri May 24 02:30:36 GMT 2024","Fri May 24 02:30:37 GMT 2024","835","","Form Authentication","","","","validate, login successful text",""
"passed","Fri May 24 02:30:33 GMT 2024","Fri May 24 02:30:34 GMT 2024","380","","Add Remove Elements","","","","validate, add element button is visible",""
