"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 02:39:30 GMT 2024","Tue Aug 27 02:39:30 GMT 2024","496","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Tue Aug 27 02:39:28 GMT 2024","Tue Aug 27 02:39:29 GMT 2024","836","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Tue Aug 27 02:39:27 GMT 2024","Tue Aug 27 02:39:27 GMT 2024","279","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Tue Aug 27 02:39:33 GMT 2024","Tue Aug 27 02:39:34 GMT 2024","998","","Form Authentication","","","","validate, login successful text",""
"passed","Tue Aug 27 02:39:29 GMT 2024","Tue Aug 27 02:39:30 GMT 2024","439","","Add Remove Elements","","","","validate, delete button is visible & exist",""
