"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 28 02:38:32 GMT 2024","Sun Jul 28 02:38:33 GMT 2024","877","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Sun Jul 28 02:38:33 GMT 2024","Sun Jul 28 02:38:33 GMT 2024","451","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Sun Jul 28 02:38:33 GMT 2024","Sun Jul 28 02:38:34 GMT 2024","491","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Sun Jul 28 02:38:30 GMT 2024","Sun Jul 28 02:38:30 GMT 2024","276","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Sun Jul 28 02:38:36 GMT 2024","Sun Jul 28 02:38:37 GMT 2024","974","","Form Authentication","","","","validate, login successful text",""
