"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 02:36:29 GMT 2024","Sun Jun 09 02:36:29 GMT 2024","367","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Sun Jun 09 02:36:31 GMT 2024","Sun Jun 09 02:36:32 GMT 2024","860","","Form Authentication","","","","validate, login successful text",""
"passed","Sun Jun 09 02:36:28 GMT 2024","Sun Jun 09 02:36:29 GMT 2024","369","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Sun Jun 09 02:36:27 GMT 2024","Sun Jun 09 02:36:27 GMT 2024","247","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Sun Jun 09 02:36:29 GMT 2024","Sun Jun 09 02:36:29 GMT 2024","296","","Add Remove Elements","","","","validate, delete button is visible & exist",""
