"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 02 02:36:54 GMT 2024","Fri Aug 02 02:36:55 GMT 2024","805","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Fri Aug 02 02:36:55 GMT 2024","Fri Aug 02 02:36:56 GMT 2024","417","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Fri Aug 02 02:36:56 GMT 2024","Fri Aug 02 02:36:56 GMT 2024","485","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Fri Aug 02 02:36:53 GMT 2024","Fri Aug 02 02:36:53 GMT 2024","269","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Fri Aug 02 02:36:58 GMT 2024","Fri Aug 02 02:36:59 GMT 2024","963","","Form Authentication","","","","validate, login successful text",""
