"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 02:37:31 GMT 2024","Tue Jul 16 02:37:31 GMT 2024","372","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Tue Jul 16 02:37:33 GMT 2024","Tue Jul 16 02:37:34 GMT 2024","851","","Form Authentication","","","","validate, login successful text",""
"passed","Tue Jul 16 02:37:31 GMT 2024","Tue Jul 16 02:37:31 GMT 2024","281","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Tue Jul 16 02:37:29 GMT 2024","Tue Jul 16 02:37:29 GMT 2024","206","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Tue Jul 16 02:37:31 GMT 2024","Tue Jul 16 02:37:32 GMT 2024","349","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
