"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 22 02:54:40 GMT 2024","Sun Sep 22 02:54:40 GMT 2024","309","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Sun Sep 22 02:54:40 GMT 2024","Sun Sep 22 02:54:41 GMT 2024","373","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Sun Sep 22 02:54:40 GMT 2024","Sun Sep 22 02:54:40 GMT 2024","400","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Sun Sep 22 02:54:43 GMT 2024","Sun Sep 22 02:54:43 GMT 2024","852","","Form Authentication","","","","validate, login successful text",""
"passed","Sun Sep 22 02:54:38 GMT 2024","Sun Sep 22 02:54:38 GMT 2024","217","","A/B Testing","","","","validate, hearder text and ab testing header text",""
