"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 28 02:35:50 GMT 2024","Fri Jun 28 02:35:51 GMT 2024","480","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Fri Jun 28 02:35:47 GMT 2024","Fri Jun 28 02:35:47 GMT 2024","269","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Fri Jun 28 02:35:53 GMT 2024","Fri Jun 28 02:35:54 GMT 2024","961","","Form Authentication","","","","validate, login successful text",""
"passed","Fri Jun 28 02:35:49 GMT 2024","Fri Jun 28 02:35:50 GMT 2024","865","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Fri Jun 28 02:35:50 GMT 2024","Fri Jun 28 02:35:50 GMT 2024","417","","Add Remove Elements","","","","validate, delete button is visible & exist",""
