"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 16 02:36:42 GMT 2024","Sun Jun 16 02:36:42 GMT 2024","255","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Sun Jun 16 02:36:45 GMT 2024","Sun Jun 16 02:36:45 GMT 2024","383","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Sun Jun 16 02:36:44 GMT 2024","Sun Jun 16 02:36:45 GMT 2024","308","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Sun Jun 16 02:36:47 GMT 2024","Sun Jun 16 02:36:48 GMT 2024","853","","Form Authentication","","","","validate, login successful text",""
"passed","Sun Jun 16 02:36:44 GMT 2024","Sun Jun 16 02:36:44 GMT 2024","391","","Add Remove Elements","","","","validate, add element button is visible",""
