"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 02:34:36 GMT 2024","Wed Jun 12 02:34:36 GMT 2024","400","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Wed Jun 12 02:34:36 GMT 2024","Wed Jun 12 02:34:37 GMT 2024","292","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Wed Jun 12 02:34:37 GMT 2024","Wed Jun 12 02:34:37 GMT 2024","352","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Wed Jun 12 02:34:34 GMT 2024","Wed Jun 12 02:34:35 GMT 2024","226","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Wed Jun 12 02:34:39 GMT 2024","Wed Jun 12 02:34:40 GMT 2024","835","","Form Authentication","","","","validate, login successful text",""
