"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 13 02:15:30 GMT 2024","Sat Apr 13 02:15:31 GMT 2024","273","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Sat Apr 13 02:15:28 GMT 2024","Sat Apr 13 02:15:28 GMT 2024","227","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Sat Apr 13 02:15:31 GMT 2024","Sat Apr 13 02:15:31 GMT 2024","347","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Sat Apr 13 02:15:30 GMT 2024","Sat Apr 13 02:15:30 GMT 2024","352","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Sat Apr 13 02:15:33 GMT 2024","Sat Apr 13 02:15:33 GMT 2024","826","","Form Authentication","","","","validate, login successful text",""
