"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 04 02:38:58 GMT 2024","Sun Aug 04 02:38:59 GMT 2024","310","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Sun Aug 04 02:38:59 GMT 2024","Sun Aug 04 02:38:59 GMT 2024","357","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Sun Aug 04 02:39:01 GMT 2024","Sun Aug 04 02:39:02 GMT 2024","874","","Form Authentication","","","","validate, login successful text",""
"passed","Sun Aug 04 02:38:58 GMT 2024","Sun Aug 04 02:38:58 GMT 2024","410","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Sun Aug 04 02:38:56 GMT 2024","Sun Aug 04 02:38:57 GMT 2024","244","","A/B Testing","","","","validate, hearder text and ab testing header text",""
