"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 18 02:46:17 GMT 2024","Wed Sep 18 02:46:18 GMT 2024","423","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Wed Sep 18 02:46:18 GMT 2024","Wed Sep 18 02:46:18 GMT 2024","479","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Wed Sep 18 02:46:14 GMT 2024","Wed Sep 18 02:46:15 GMT 2024","295","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Wed Sep 18 02:46:20 GMT 2024","Wed Sep 18 02:46:21 GMT 2024","950","","Form Authentication","","","","validate, login successful text",""
"passed","Wed Sep 18 02:46:16 GMT 2024","Wed Sep 18 02:46:17 GMT 2024","860","","Add Remove Elements","","","","validate, add element button is visible",""
