"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 28 02:30:03 GMT 2024","Sun Apr 28 02:30:03 GMT 2024","271","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Sun Apr 28 02:30:05 GMT 2024","Sun Apr 28 02:30:06 GMT 2024","842","","Form Authentication","","","","validate, login successful text",""
"passed","Sun Apr 28 02:30:03 GMT 2024","Sun Apr 28 02:30:03 GMT 2024","366","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Sun Apr 28 02:30:01 GMT 2024","Sun Apr 28 02:30:01 GMT 2024","235","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Sun Apr 28 02:30:03 GMT 2024","Sun Apr 28 02:30:04 GMT 2024","354","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
