"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 13 02:46:39 GMT 2024","Fri Sep 13 02:46:40 GMT 2024","463","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Fri Sep 13 02:46:42 GMT 2024","Fri Sep 13 02:46:43 GMT 2024","949","","Form Authentication","","","","validate, login successful text",""
"passed","Fri Sep 13 02:46:38 GMT 2024","Fri Sep 13 02:46:39 GMT 2024","750","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Fri Sep 13 02:46:37 GMT 2024","Fri Sep 13 02:46:37 GMT 2024","259","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Fri Sep 13 02:46:39 GMT 2024","Fri Sep 13 02:46:39 GMT 2024","407","","Add Remove Elements","","","","validate, delete button is visible & exist",""
