"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 13 02:39:37 GMT 2024","Tue Aug 13 02:39:37 GMT 2024","392","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Tue Aug 13 02:39:37 GMT 2024","Tue Aug 13 02:39:37 GMT 2024","319","","Add Remove Elements","","","","validate, delete button is visible & exist",""
"passed","Tue Aug 13 02:39:36 GMT 2024","Tue Aug 13 02:39:37 GMT 2024","464","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Tue Aug 13 02:39:39 GMT 2024","Tue Aug 13 02:39:40 GMT 2024","901","","Form Authentication","","","","validate, login successful text",""
"passed","Tue Aug 13 02:39:35 GMT 2024","Tue Aug 13 02:39:35 GMT 2024","250","","A/B Testing","","","","validate, hearder text and ab testing header text",""
