"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 13 02:34:54 GMT 2024","Sat Jul 13 02:34:55 GMT 2024","984","","Form Authentication","","","","validate, login successful text",""
"passed","Sat Jul 13 02:34:50 GMT 2024","Sat Jul 13 02:34:51 GMT 2024","778","","Add Remove Elements","","","","validate, add element button is visible",""
"passed","Sat Jul 13 02:34:48 GMT 2024","Sat Jul 13 02:34:49 GMT 2024","251","","A/B Testing","","","","validate, hearder text and ab testing header text",""
"passed","Sat Jul 13 02:34:51 GMT 2024","Sat Jul 13 02:34:52 GMT 2024","487","","Add Remove Elements","","","","validate, delete button is not visible & not exist",""
"passed","Sat Jul 13 02:34:51 GMT 2024","Sat Jul 13 02:34:51 GMT 2024","423","","Add Remove Elements","","","","validate, delete button is visible & exist",""
